source_id,mission,instrument,sector,tic_id,stellar_radius,stellar_mass,stellar_teff,stellar_tmag,stellar_logg,stellar_ra,stellar_dec,bls_period,bls_power,bls_depth_ppm,tls_period,tls_sde,tls_snr,tls_odd_even_mismatch,cascade_status,cascade_confirmed,period,period_err,t0,duration_hours,depth,depth_ppm,rp_rs,rp_rs_err,impact_parameter,a_over_rs,inclination_deg,u1,u2,log_jitter,baseline,planet_radius_rearth,planet_radius_rjup,semi_major_axis_au,equilibrium_temperature_k,insolation_flux,stellar_density_gcm3,transit_depth_ppm,snr_adopted,snr_tls,snr_dutycycle,noise_ppm,cdpp_1hr_ppm,data_completeness,n_points,n_transits,residual_rms_ppm,transit_symmetry,timing_rms_min,fpp,is_false_positive,is_variable_star,is_binary_suspect,secondary_eclipse_depth_ppm,n_vetting_pass,n_vetting_fail,n_vetting_warn,vetting_flags,total_score,candidate_class,is_anomalous,anomaly_flags,fit_method,log_likelihood,r_hat_max,n_divergences,mcmc_converged,json_path,figure_dir,tid,novelty_status,discovery_priority,discovery_reason,science_priority_bucket,science_priority_score,science_priority_reason
TIC 57916666,TESS,TESS,17,57916666,0.763537,0.77,4796.0,7.8927,4.5589,4.5870400674696,30.9561465371252,1.7760873520498954,701.5641062966313,6682.444777244778,1.7728934333331434,4.367031492578078,46.32874828915685,1.1548240323412013,confirmed,True,1.7200936759731786,0.0017728934333331435,1763.9554510700586,2.2871434758696494,0.008770685624538643,8770.685624538643,0.04211084183095141,0.0,0.0,7.400529883146639,90.0,0.6230190379125908,-0.6143841556769126,-5.3501754248781195,0.9997262218644902,3.5110612758197086,0.31288775510892636,0.025753106599666033,1151.8186927522627,417.26068925633444,2.4393865627379445,1773.322999711407,46.32874828915685,46.32874828915685,0.7255868316453761,4769.5136306884215,4428.018667701339,0.7701058087576284,13021,13,4760.103319103947,0.9257456233680487,0.0,0.0,False,False,False,0.0,8,0,0,,100.0,A,False,,map,51155.269097870565,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_57916666_S17.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_57916666/figures,57916666,NOVEL_CANDIDATE,REJECT,low quality or likely false positive,LOW_PRIORITY,50,class A; snr>=20; multi-transit
TIC 373062137,TESS,TESS,18,373062137,0.919111,1.064,5876.0,10.4682,4.53827,0.438759432731815,74.4120817577702,22.872671814927685,27.451673820716433,4659.658914447528,11.528279757526013,8.548304710614033,23.0723408523693,,confirmed,True,11.552227335714395,0.011528279757526013,1791.3924980469633,2.1889135590659343,0.003274788962782882,3274.7889627828818,0.05980919562113246,0.0,0.29525112276228255,23.855937668482703,89.2908652191469,1.0,0.1384740728586192,-7.640052029830002,1.0000205408369425,6.002750929572936,0.5349343447142222,0.10210703804107114,777.5756409257656,86.66456663178904,1.9324928701471478,3577.1398808468903,23.0723408523693,23.0723408523693,0.21925544724171142,1422.821159225964,546.1464912940907,0.8829500230614148,14981,2,1392.396430298949,0.9945766167549299,0.0,0.0,False,False,False,0.0,7,0,0,,100.0,A,False,,map,77269.9770780558,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_373062137_S18.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_373062137/figures,373062137,NOVEL_CANDIDATE,REJECT,low quality or likely false positive,LOW_PRIORITY,40,class A; snr>=20
TIC 439996850,TESS,TESS,17,439996850,1.16063,1.02,5728.0,8.0659,4.31728,2.28277813423353,45.5243811318902,6.5957932232056224,29.922333090911025,947.0186804524383,4.401293596981365,6.388858583471634,14.341681864759641,1.4266181079299867,period_mismatch,False,4.401293596981365,0.01948145226302156,1768.6557792320452,1.3651504436380026,0.0006695937982544864,669.5937982544864,0.02327088275803726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.949314244985727,0.26282774373082396,0.05291168616178163,1183.2562894694518,464.7145475745168,0.9200235822443361,541.5339843383159,14.341681864759641,14.341681864759641,0.13632347526910732,614.3027863799637,310.2937218738672,0.7800072122512965,13087,5,0.0,0.985128907647359,2.5361696400699115e-10,0.0,False,False,False,0.0,8,0,0,,50.0,C,False,,cascade_only,0.0,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_439996850_S17.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_439996850/figures,439996850,NOVEL_CANDIDATE,WATCHLIST,moderate candidate,LOW_PRIORITY,40,watchlist; class C; snr>=10; multi-transit
TIC 440672051,TESS,TESS,17,440672051,1.10256,0.92,5335.0,8.6352,4.31705,7.96906185716867,25.7041728152272,19.196965592363444,18.807486404262928,735.0925239411055,8.666355677425658,0.42196608123276663,12.915384331866028,,period_mismatch,False,8.666355677425658,0.04769712125232495,1768.536307180734,2.0463052030263125,0.0007184954128257592,718.4954128257592,0.024105666659995792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.902256399995464,0.25863419018031525,0.08031283061519928,871.8620829398942,136.98157156762804,0.9679686533903945,581.0831651228326,12.915384331866028,12.915384331866028,0.13936402800305328,616.6792567651964,226.34886340689803,0.7696917650176773,13014,3,0.0,0.9819062681558239,1.8903492392224985e-10,0.0,False,False,False,0.0,8,0,0,,50.0,C,False,,cascade_only,0.0,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_440672051_S17.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_440672051/figures,440672051,NOVEL_CANDIDATE,WATCHLIST,moderate candidate,LOW_PRIORITY,35,watchlist; class C; snr>=10; 3+ transits
TIC 373278642,TESS,TESS,18,373278642,0.789362,0.874,5163.0,10.9051,4.58503,1.9943579653179,77.8378643329784,12.020150965742335,14.300967842623445,3463.400807136807,10.65050288613579,4.90426195842432,11.54563541597393,,period_mismatch,False,10.65050288613579,0.05071318839059735,1791.408506203825,1.4182993554943815,0.002232793778873643,2232.793778873643,0.04249437572978404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.6628747410274607,0.32641659171775794,0.0905833834200583,672.234319721253,48.412075836901955,2.5058954622416754,1805.7719686640587,11.54563541597393,11.54563541597393,0.11461661265185476,1832.3881073260131,513.5004116478515,0.8614875388951595,14448,3,0.0,0.9957992933418536,1.8903492392224985e-10,0.0,False,False,False,0.0,8,0,0,,50.0,C,False,,cascade_only,0.0,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_373278642_S18.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_373278642/figures,373278642,NOVEL_CANDIDATE,WATCHLIST,moderate candidate,LOW_PRIORITY,35,watchlist; class C; snr>=10; 3+ transits
TIC 331928059,TESS,TESS,52,331928059,0.780653,0.898,5253.0,10.2394,4.60643,6.33771028371187,69.8809775437071,18.23361438345365,22.46039732086191,2289.4198087154427,12.099492781376709,4.32968612757329,15.175053550836775,,period_mismatch,False,12.099492781376709,0.034825253068156314,2718.8843768449788,1.904978983068018,0.00241938758791993,2419.38758791993,0.04423437251425913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.7707896144018753,0.3360334111978172,0.09951797715534842,648.9188121075724,42.03707016716069,2.6618427848655624,1956.6797117302435,15.175053550836775,15.175053550836775,0.16141055069932786,1331.6315485322564,597.9125486824076,0.8351418860143772,14691,2,0.0,0.43806106988911564,0.0,0.0,False,False,False,0.0,7,0,0,,50.0,C,False,,cascade_only,0.0,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_331928059_S52.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_331928059/figures,331928059,NOVEL_CANDIDATE,WATCHLIST,moderate candidate,LOW_PRIORITY,30,watchlist; class C; snr>=10
TIC 407393440,TESS,TESS,18,407393440,0.582782,0.63,4009.0,10.4128,4.7064,5.02195853251869,76.1291151140325,11.344468014575948,12.850848592264594,2230.909649461377,11.68130748300199,9.657011716745584,11.63263645159979,,period_mismatch,False,11.68130748300199,inf,1791.3974409318598,1.6147583723785313,0.0018815038107905524,1881.5038107905525,0.039008540180028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.4824483756814013,0.22122305434826567,0.08637852917681509,459.294173112097,10.549569182776422,4.488511317650406,1521.6662069768588,11.63263645159979,11.63263645159979,0.11832723100206724,1294.5720584640778,288.58607576992944,0.8694495050541325,14625,2,0.0,0.9793462642510687,0.0,0.0,False,False,False,0.0,7,0,0,,50.0,C,False,,cascade_only,0.0,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_407393440_S18.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_407393440/figures,407393440,NOVEL_CANDIDATE,WATCHLIST,moderate candidate,LOW_PRIORITY,30,watchlist; class C; snr>=10
TIC 468264605,TESS,TESS,18,468264605,0.718374,0.75,4693.0,10.7235,4.60043,4.88076293715739,81.3698971924304,11.131698837928626,12.81888900671577,1816.352879844163,11.150138225476203,7.541183417748331,9.893834473367761,,confirmed,True,11.240541905006086,0.011150138225476204,1790.7715020128785,1.7978265764200225,0.001997883694496272,1997.8836944962718,0.04162992351558443,0.0,0.2939463506603945,26.566288885679466,89.36603004523812,0.44797499384415235,0.171316764592655,-8.263291178164696,1.0000308143901402,3.2656573689851043,0.29101861883573127,0.08922979697630139,587.3211245571213,28.208076211391912,2.8529201102787916,1733.0505319134095,9.893834473367761,9.893834473367761,0.12156108185864986,1491.1113888742664,404.51724050094623,0.812530941306679,13046,2,1482.8696397622443,0.9433003402611252,0.0,0.0,False,False,False,0.0,7,0,0,,100.0,A,False,,map,66467.56651975554,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_468264605_S18.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_468264605/figures,468264605,NOVEL_CANDIDATE,REJECT,low quality or likely false positive,LOW_PRIORITY,30,class A; snr>=7.5
TIC 194531699,TESS,TESS,17,194531699,0.907312,1.05,5824.93,6.3896,4.54374,5.00169958105019,38.2273974925528,3.2135765000252867,8.623855182201064,118.00674450002103,3.2132937834837128,5.771031548125586,5.278420901914713,0.6470321289007415,confirmed,True,3.2164826401506286,0.0032132937834837127,1765.8140628874717,1.0666388614376912,8.297609950380647e-05,82.97609950380647,0.0040959406878549745,0.0,0.23024653720648328,10.266308453828572,88.71489727246919,0.26746958547972693,-0.9629612133897106,-8.968718336074748,1.0000050515147896,0.4058118384515179,0.036163867604411974,0.04334595328273257,1175.4373213425442,452.55241332275057,1.9824374727118543,16.77673011842588,5.278420901914713,5.278420901914713,0.05504245686113093,208.30411889611966,41.685673333103665,0.7792920423032083,13075,8,208.30121441087147,0.9918314407442373,4.0100362975951797e-10,0.0,False,False,False,0.0,8,0,0,,100.0,A,False,,map,92276.43918888443,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_194531699_S17.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_194531699/figures,194531699,NOVEL_CANDIDATE,REJECT,low quality or likely false positive,LOW_PRIORITY,30,class A; multi-transit
TIC 373150657,TESS,TESS,18,373150657,0.794436,0.82,4986.0,9.2822,4.55176,1.64648644844857,73.9393644539257,0.3109829962973676,16.313115352393766,195.43717477144008,0.6228899874238611,6.091079922414728,4.003536218635779,0.3276293787881078,confirmed,True,0.6342449249070268,0.0006228899874238612,1791.0572162104854,0.116113912430934,0.0002042536289900143,204.2536289900143,0.013333747270274973,0.0,0.9260654686272068,3.6165475195965806,75.16339403541872,0.47977761358934967,-0.30944707171090585,-7.542425349791283,1.0000176622163723,1.1567127789116565,0.10308030429203496,0.013523027639354377,1685.5804341938,1913.6781905074722,2.3063078008151447,177.78881626756527,4.003536218635779,4.003536218635779,0.019530727790454505,907.6377551000472,223.8250882372131,0.8892621553274136,15121,38,907.1472735616336,0.97475237604098,9.045027151073996e-10,0.23809523809523808,False,False,False,166.6503022598187,7,1,0,secondary_eclipse,100.0,A,False,,map,84470.40370321625,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_373150657_S18.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_373150657/figures,373150657,NOVEL_CANDIDATE,REJECT,low quality or likely false positive,LOW_PRIORITY,30,class A; multi-transit
