source_id,sector,fit_method,mcmc_converged,r_hat_max,n_divergences,planet_radius_rearth,snr_adopted,candidate_class,total_score,mcmc_status
TIC 347299560,24,map,False,0.0,0,0.7291940451543587,10.804278558282869,A,100.0,MAP_ONLY
TIC 439949948,17,mcmc,True,1.0311350113352338,0,0.794797060298517,7.9693993731543165,A,100.0,MCMC_CONVERGED
TIC 352146741,17,map,False,0.0,0,0.7972532258784599,12.23799555851196,A,100.0,MAP_ONLY
