source_id,mission,instrument,sector,tic_id,stellar_radius,stellar_mass,stellar_teff,stellar_tmag,stellar_logg,stellar_ra,stellar_dec,bls_period,bls_power,bls_depth_ppm,tls_period,tls_sde,tls_snr,tls_odd_even_mismatch,cascade_status,cascade_confirmed,period,period_err,t0,duration_hours,depth,depth_ppm,rp_rs,rp_rs_err,impact_parameter,a_over_rs,inclination_deg,u1,u2,log_jitter,baseline,planet_radius_rearth,planet_radius_rjup,semi_major_axis_au,equilibrium_temperature_k,insolation_flux,stellar_density_gcm3,transit_depth_ppm,snr_adopted,snr_tls,snr_dutycycle,noise_ppm,cdpp_1hr_ppm,data_completeness,n_points,n_transits,residual_rms_ppm,transit_symmetry,timing_rms_min,fpp,is_false_positive,is_variable_star,is_binary_suspect,secondary_eclipse_depth_ppm,n_vetting_pass,n_vetting_fail,n_vetting_warn,vetting_flags,total_score,candidate_class,is_anomalous,anomaly_flags,fit_method,log_likelihood,r_hat_max,n_divergences,mcmc_converged,json_path,figure_dir,tid,novelty_status
TIC 405187645,TESS,TESS,42,405187645,1.03381,1.07,5895.0,7.019,4.43857,2.10727337408121,6.61680227296907,19.68883681605033,93.2037186352775,1873.9767781146277,6.8701931964878185,4.376413503548515,26.810311081092614,14.166433847366207,period_mismatch,False,6.8701931964878185,0.13047076195716523,2454.424501803419,4.582382483452513,0.0009888430204912924,988.8430204912924,0.028279441168847955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.192463570132663,0.2844959632590387,0.07234444850273322,982.8930988072447,221.2565441006189,1.3656573773704586,799.7267928223326,26.810311081092614,26.810311081092614,0.33520306298302505,605.1830410143991,356.3763695260249,0.6688744794414275,11090,3,0.0,0.8752462972377374,0.0,0.2523809523809524,False,False,True,14.88603579391512,6,1,1,odd_even_mismatch,50.0,C,False,,cascade_only,0.0,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_405187645_S42.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_405187645/figures,405187645,NOVEL_CANDIDATE
TIC 352179145,TESS,TESS,17,352179145,0.713032,0.63,4017.0,7.543,4.53119,4.27655780322779,40.9482969968157,13.044120480289408,35.13260564829177,962.7746727054465,11.439335471795898,3.4685263593248385,18.873118515051548,,period_mismatch,False,11.439335471795898,0.04638101011997975,1764.7772961124551,1.5539689372388596,0.0008600098778168697,860.0098778168697,0.026372959422188348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.05344126772776,0.1829921434103614,0.08518151600531436,512.6115374550749,16.3690881889957,2.450719748963519,695.5329886843931,18.873118515051548,18.873118515051548,0.2034257383141422,448.2454639774349,196.57182935762003,0.7799941886309468,13086,3,0.0,0.9778677524498123,0.0,0.0,False,False,False,0.0,8,0,0,,50.0,C,False,,cascade_only,0.0,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_352179145_S17.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_352179145/figures,352179145,NOVEL_CANDIDATE
TIC 439996850,TESS,TESS,17,439996850,1.16063,1.02,5728.0,8.0659,4.31728,2.28277813423353,45.5243811318902,6.5957932232056224,29.922333090911025,947.0186804524383,4.401293596981365,6.388858583471634,14.341681864759641,1.4266181079299867,period_mismatch,False,4.401293596981365,0.01948145226302156,1768.6557792320452,1.3651504436380026,0.0006695937982544864,669.5937982544864,0.02327088275803726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.949314244985727,0.26282774373082396,0.05291168616178163,1183.2562894694518,464.7145475745168,0.9200235822443361,541.5339843383159,14.341681864759641,14.341681864759641,0.13632347526910732,614.3027863799637,310.2937218738672,0.7800072122512965,13087,5,0.0,0.985128907647359,2.5361696400699115e-10,0.0,False,False,False,0.0,8,0,0,,50.0,C,False,,cascade_only,0.0,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_439996850_S17.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_439996850/figures,439996850,NOVEL_CANDIDATE
TIC 365961623,TESS,TESS,17,365961623,0.804821,0.64,4079.0,9.8191,4.43285,3.74607087859692,33.2615253697497,22.245503287921878,16.9076944441132,2426.727617588331,11.431964273986848,3.7677098155297455,12.244388012316858,5.717809148134483,period_mismatch,False,11.431964273986848,0.055283810400458044,1772.5802727025614,1.9064783740739197,0.001333698022591312,1333.6980225913119,0.03284247669970588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.8863540266382164,0.25721705230951825,0.08559305904408003,551.6819796962925,21.959688467991395,1.7312597742487636,1078.6282757707236,12.244388012316858,12.244388012316858,0.12704721416784776,990.8236131781099,328.61487656752706,0.7699283938445611,13018,2,0.0,0.9695343838307401,0.0,0.2631578947368421,False,False,True,0.0,6,1,0,odd_even_mismatch,50.0,C,False,,cascade_only,0.0,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_365961623_S17.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_365961623/figures,365961623,NOVEL_CANDIDATE
TIC 22527304,TESS,TESS,17,22527304,0.935897,0.96,5489.0,7.2538,4.47788,2.8434890528423,30.4495762013421,13.043976918845296,33.07010095021781,541.5283335068466,11.741452117730994,10.143972339375749,11.880756500608376,,period_mismatch,False,11.741452117730994,inf,1776.4230671046653,4.496406615645819,0.0005223764963170341,522.3764963170341,0.020554123464560616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.100590583735589,0.1871938483883433,0.0997400549061735,741.6127265402422,71.70999256750801,1.6514568522253206,422.47199139640134,11.880756500608376,11.880756500608376,0.18327653202021288,410.17279249759247,158.8579529465714,0.7701057787646656,13021,2,0.0,0.9406619135595444,0.0,0.0,False,False,False,0.0,7,0,0,,50.0,C,False,,cascade_only,0.0,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_22527304_S17.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_22527304/figures,22527304,NOVEL_CANDIDATE
TIC 373278642,TESS,TESS,18,373278642,0.789362,0.874,5163.0,10.9051,4.58503,1.9943579653179,77.8378643329784,12.020150965742335,14.300967842623445,3463.400807136807,10.65050288613579,4.90426195842432,11.54563541597393,,period_mismatch,False,10.65050288613579,0.05071318839059735,1791.408506203825,1.4182993554943815,0.002232793778873643,2232.793778873643,0.04249437572978404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.6628747410274607,0.32641659171775794,0.0905833834200583,672.234319721253,48.412075836901955,2.5058954622416754,1805.7719686640587,11.54563541597393,11.54563541597393,0.11461661265185476,1832.3881073260131,513.5004116478515,0.8614875388951595,14448,3,0.0,0.9957992933418536,1.8903492392224985e-10,0.0,False,False,False,0.0,8,0,0,,50.0,C,False,,cascade_only,0.0,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_373278642_S18.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_373278642/figures,373278642,NOVEL_CANDIDATE
TIC 373236404,TESS,TESS,18,373236404,0.99833,0.96,5467.0,8.4334,4.42179,2.19309440124477,73.0185418532785,23.498555788299022,14.563578685624538,1369.9936127485878,11.360808390628222,4.284820239358288,9.644858061164129,,period_mismatch,False,11.360808390628222,0.040951683859702825,1791.394774533015,1.6175321905981757,0.0003969572575074354,396.9572575074354,0.01791756629704878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.9532936593783028,0.1740675027121799,0.09757260174770586,771.3063542091435,83.90321809101569,1.36059550226181,321.03918200913836,9.644858061164129,9.644858061164129,0.07953945845835722,490.671070316937,118.43147722275982,0.8890857091288674,15118,3,0.0,0.9917774390066554,0.0,0.0,False,False,False,1.0355257820116037,8,0,0,,50.0,C,False,,cascade_only,0.0,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_373236404_S18.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_373236404/figures,373236404,NOVEL_CANDIDATE
TIC 365963199,TESS,TESS,17,365963199,1.1062,0.75,4705.0,7.8774,4.22546,4.04828325619788,30.5325787133942,19.388648235291228,35.825673891261374,1139.4187517917987,11.74147081519583,7.465799409822122,8.573551212744142,,period_mismatch,False,11.74147081519583,inf,1776.3228218007232,2.538105873454637,0.0009667227591456662,966.7227591456661,0.02796134888482774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.377584094442161,0.30099295397654297,0.09186147350959074,720.1359106189998,63.757143962652194,0.7813407314187389,781.8370314590575,8.573551212744142,8.573551212744142,0.11389426761145895,927.5431595359122,280.26130105856794,0.7701058433164606,13021,2,0.0,0.9834601427969273,0.0,0.0,False,False,False,0.0,7,0,0,,50.0,C,False,,cascade_only,0.0,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_365963199_S17.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_365963199/figures,365963199,NOVEL_CANDIDATE
TIC 117956546,TESS,TESS,57,117956546,0.0,0.0,0.0,5.043,0.0,0.543088080825098,27.0817991094254,21.238048149106568,13.276987145948477,134.79583458197996,13.354153946060583,2.437868519179518,7.262185133473385,2.259958127687078,period_mismatch,False,13.354153946060583,0.08332736541402674,2866.594870352986,2.7815502506391994,8.133928014919523e-05,81.33928014919522,0.008110680786509948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.262185133473385,7.262185133473385,0.061511257909745785,129.76316132825747,30.32951661035891,0.867783600705801,17964,2,0.0,0.9983377669329839,0.0,0.07894736842105263,False,False,False,0.0,6,0,1,,50.0,C,False,,cascade_only,0.0,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_117956546_S57.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_117956546/figures,117956546,NOVEL_CANDIDATE
TIC 437739969,TESS,TESS,17,437739969,0.742846,0.77,4766.0,7.7785,4.58276,3.01676554162231,27.0989540581755,9.916995566533624,10.138091625580783,197.2495194870749,10.236173609295385,3.166327111067012,6.541118004556851,0.04914274205591695,period_mismatch,False,10.236173609295385,0.05800307082106926,1768.0798205622323,2.0025474688747957,0.00028535854667044447,285.35854667044447,0.01519156754978636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2322980932904155,0.10981607945438983,0.08457071223592681,623.0145015567427,35.71606494815575,2.6489546390322016,230.78372461972194,6.541118004556851,6.541118004556851,0.06638067699542181,415.06060405004524,97.55397061858653,0.7696918124265933,13014,2,0.0,0.994322546779041,0.0,0.0,False,False,False,5.252288693524676,7,0,0,,50.0,C,False,,cascade_only,0.0,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_437739969_S17.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_437739969/figures,437739969,NOVEL_CANDIDATE
