tid,source_id,sector,sector_count,sector_list,pool_priority_score,verified_priority_score,st_tmag,st_teff,st_rad,ra,dec,exotic_target_theme,exotic_target_score,exotic_target_reason,estimated_luminosity_lsun,estimated_mass_msun,hz_center_au,hz_center_period_days,sector_count_resolved
437739969,TIC 437739969,17,3,"17,57,84",35.40754,59.40754,7.7785,4766.0,0.742846,3.01676554162231,27.0989540581755,LOW_PRIORITY,44.0,Does not satisfy strict TESS-detectable temperate small-host criteria.,0.2565124452382021,0.7539696246457298,0.506470576873131,151.61585880301465,3
127420134,TIC 127420134,17,1,17,27.87033,35.87033,10.8175,4329.53,0.644692,5.71861640366464,39.4250458403167,LOW_PRIORITY,43.0,Does not satisfy strict TESS-detectable temperate small-host criteria.,0.1315716392515475,0.6589988656283462,0.3627280513711995,98.29232439697998,1
22468706,TIC 22468706,17,1,17,26.77200333333333,34.77200333333333,10.5321,4528.0,0.703293,2.25000012891959,34.6652484471624,LOW_PRIORITY,43.0,Does not satisfy strict TESS-detectable temperate small-host criteria.,0.1873238058250473,0.7157798693343009,0.4328092025651111,122.92641441817612,1
437739765,TIC 437739765,17,1,17,26.16175,34.16175,10.9253,4455.74,0.667255,3.01769136404436,26.5168676088373,LOW_PRIORITY,43.0,Does not satisfy strict TESS-detectable temperate small-host criteria.,0.1581094209961977,0.680890453219089,0.3976297536606104,110.98643798875136,1
257469419,TIC 257469419,42,1,42,25.192993333333327,33.19299333333333,10.8375,4531.0,0.736534,0.211766720497649,4.16300871306179,LOW_PRIORITY,43.0,Does not satisfy strict TESS-detectable temperate small-host criteria.,0.2059949426749851,0.747882135816223,0.4538666573730495,129.14157046841157,1
57963994,TIC 57963994,17,1,17,25.69526666666667,33.69526666666667,10.953,4446.0,0.71094,4.98102612998659,32.9249299520423,LOW_PRIORITY,43.0,Does not satisfy strict TESS-detectable temperate small-host criteria.,0.1779256018265401,0.7231714999908679,0.4218122826880935,117.6652998948688,1
118031332,TIC 118031332,57,1,57,26.343386666666664,34.34338666666666,10.89,4506.0,0.621328,1.0027559408935,24.7180331281226,LOW_PRIORITY,43.0,Does not satisfy strict TESS-detectable temperate small-host criteria.,0.1433842043483667,0.6362896795633394,0.3786610679068641,106.6936980127699,1
372130412,TIC 372130412,17,1,17,26.70083,34.70083,10.7902,4463.0,0.661337,1.24188061671195,32.2697666559243,LOW_PRIORITY,43.0,Does not satisfy strict TESS-detectable temperate small-host criteria.,0.1563320056334393,0.6751521887604662,0.395388423747382,110.51603858432642,1
83959458,TIC 83959458,17,1,17,26.26073,34.260729999999995,10.5352,4532.21,0.749672,0.514968917167636,33.4899925195059,LOW_PRIORITY,43.0,Does not satisfy strict TESS-detectable temperate small-host criteria.,0.213637452139954,0.760549921551796,0.4622093163707911,131.6086408469951,1
257488638,TIC 257488638,70,1,70,29.32416000000001,37.324160000000006,10.5459,4126.61,0.777049,0.452040669074563,4.90950203515992,LOW_PRIORITY,42.0,Does not satisfy strict TESS-detectable temperate small-host criteria.,0.1577484959411853,0.7869116692456742,0.3971756487263354,103.06261371442284,1
58101457,TIC 58101457,17,1,17,27.36272333333333,35.362723333333335,10.761,4281.67,0.757936,6.21349760035156,32.2339899591329,LOW_PRIORITY,42.0,Does not satisfy strict TESS-detectable temperate small-host criteria.,0.1739452401180967,0.7685124520007137,0.4170674287427594,112.22101233331884,1
388583017,TIC 388583017,18,4,"18,19,24,26",26.45684333333333,58.45684333333333,10.2463,4741.33,0.671354,0.068221465327439,79.4122481445533,LOW_PRIORITY,41.0,Does not satisfy strict TESS-detectable temperate small-host criteria.,0.2052100406055202,0.6848634697492707,0.4530011485697583,134.56656867630596,4
407423779,TIC 407423779,18,4,"18,19,24,25",29.72513,61.72513,9.2495,4736.0,0.747687,5.46949963737239,74.139187108774,LOW_PRIORITY,41.0,Does not satisfy strict TESS-detectable temperate small-host criteria.,0.2533851416211151,0.7586366821072311,0.5033737593688363,149.76459758088382,4
257292435,TIC 257292435,42,2,"42,43",28.801996666666664,44.80199666666667,10.4983,4047.0,0.914647,7.29871153266786,3.0760333797613,LOW_PRIORITY,39.0,Does not satisfy strict TESS-detectable temperate small-host criteria.,0.2021783073961423,0.9187362206783384,0.4496424217043386,114.89356959654738,2
373150643,TIC 373150643,18,4,"18,19,24,25",19.49956333333333,51.49956333333333,10.516,5395.0,0.714477,1.69810300354861,73.9485272605218,LOW_PRIORITY,38.0,Does not satisfy strict TESS-detectable temperate small-host criteria.,0.3896162051494901,0.7265890359397369,0.6241924424001705,211.3117095391173,4
468264605,TIC 468264605,18,4,"18,19,25,26",24.48059333333333,56.48059333333333,10.7235,4693.0,0.718374,4.88076293715739,81.3698971924304,LOW_PRIORITY,38.0,Does not satisfy strict TESS-detectable temperate small-host criteria.,0.225526789924697,0.730353433535906,0.4748966097212077,139.86926435582262,4
