source_id,sector,fit_method,mcmc_converged,r_hat_max,n_divergences,planet_radius_rearth,equilibrium_temperature_k,snr_adopted,candidate_class,total_score
TIC 439946042,17,mcmc,True,1.0083329672431938,0,0.9323894500106363,797.7011918046511,7.452918378962293,A,100.0
TIC 354532520,17,mcmc,True,1.007228925738656,0,0.7851759318073456,704.7444714272846,6.401414369732828,A,100.0
TIC 427332476,42,mcmc,True,1.0083085098557192,0,1.1087416597907835,651.530536967885,7.207003944662037,A,100.0
