tid,source_id,sector,sector_count,sector_list,pool_priority_score,verified_priority_score,st_tmag,st_teff,st_rad,ra,dec,exotic_target_theme,exotic_target_score,exotic_target_reason,estimated_luminosity_lsun,estimated_mass_msun,hz_center_au,hz_center_period_days,sector_count_resolved
439949946,TIC 439949946,17,3,"17,57,84",44.96421,68.96421000000001,7.3776,3959.0,0.620039,1.42092453196458,45.8120958899851,GIANT_HZ_HOST_SYSTEM,85.0,Star is favorable for detecting temperate giant/HZ-host systems.,0.08508925704664,0.6350355771120777,0.2917006291502301,72.20998336403969,3
352179145,TIC 352179145,17,3,"17,57,84",42.88934666666667,66.88934666666667,7.543,4017.0,0.713032,4.27655780322779,40.9482969968157,GIANT_HZ_HOST_SYSTEM,85.0,Star is favorable for detecting temperate giant/HZ-host systems.,0.119266940605654,0.7251929440206261,0.3453504605551498,87.04693803126993,3
461408984,TIC 461408984,17,6,"17,18,24,25,52,58",37.49276333333333,85.49276333333333,9.4702,3835.0,0.633477,3.29810861538546,70.397958115024,GIANT_HZ_HOST_SYSTEM,84.5,Star is favorable for detecting temperate giant/HZ-host systems.,0.0782020046694621,0.6481034133825323,0.2796462134009008,67.09366019550691,6
320049266,TIC 320049266,17,3,"17,18,24",33.02997,57.02997,10.1497,3977.0,0.689623,7.35480708677267,57.485819066098,GIANT_HZ_HOST_SYSTEM,78.25,Star is favorable for detecting temperate giant/HZ-host systems.,0.1071866133311248,0.702556329150545,0.327393667212921,81.63098955756605,3
407120936,TIC 407120936,24,3,"24,25,52",34.46686,58.46686,10.1332,3893.0,0.622534,5.91276920585682,71.3832381468499,GIANT_HZ_HOST_SYSTEM,78.25,Star is favorable for detecting temperate giant/HZ-host systems.,0.0801970653475936,0.6374629113108722,0.2831908638137778,68.94164170084738,3
407393440,TIC 407393440,18,4,"18,19,24,25",32.77931333333333,64.77931333333333,10.4128,4009.0,0.582782,5.02195853251869,76.1291151140325,GIANT_HZ_HOST_SYSTEM,78.25,Star is favorable for detecting temperate giant/HZ-host systems.,0.0790407758208932,0.5987297292212073,0.281141914023671,70.36605588024294,4
357370384,TIC 357370384,57,1,57,40.16079333333333,48.16079333333333,9.05277,3805.0,0.558646,2.11366444469788,17.4242931801397,GIANT_HZ_HOST_SYSTEM,77.5,Star is favorable for detecting temperate giant/HZ-host systems.,0.0589368257548152,0.5751483243110718,0.2427690790747768,57.60900197051111,1
468869378,TIC 468869378,42,2,"42,43",36.13275,52.13275,9.81829,3803.0,0.656909,2.76922655446015,5.20897286095037,GIANT_HZ_HOST_SYSTEM,76.5,Star is favorable for detecting temperate giant/HZ-host systems.,0.0813224465844439,0.6708569932496704,0.2851709076754569,67.90989763831341,2
327000122,TIC 327000122,17,3,"17,18,24",38.15329666666666,62.15329666666666,8.2634,4284.39,0.675652,2.8381104228954,58.3499139335102,GIANT_HZ_HOST_SYSTEM,75.75,Star is favorable for detecting temperate giant/HZ-host systems.,0.1385788112357242,0.6890280676743258,0.3722617509706366,99.94116130452068,3
437752575,TIC 437752575,17,3,"17,57,84",34.95797333333333,58.95797333333333,8.5091,4621.0,0.616396,5.31669925913577,25.5242567177136,GIANT_HZ_HOST_SYSTEM,75.75,Star is favorable for detecting temperate giant/HZ-host systems.,0.1560839358992417,0.6314904995228791,0.3950745953604733,114.1367415755784,3
